LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0001,relative to the state minimum hourly rate.,HB 517-FN,"This bill increases the minimum hourly rate, increases the base rate for tipped employees, and adjusts both rates annually based on the most recent 12-month average of the consumer price index.  The bill also requires a youth minimum wage for employees under 18 years of age.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=1&txtFormat=html,Kristina Schultz,"Linda Harriott-Gathright, Lee Oxenham, Laurel Stavis, Donald Bouchard, Safiya Wazir, Arthur Ellison, Cassandra  Levesque, Rebecca Whitley",1/4/2021
21-0002,relative to the reversal or forgiveness of emergency order violations.,HB 63-FN-A,"This bill provides that the state shall not enforce, and shall reverse, any prior finding of violation of the governor's emergency orders regarding the COVID-19 pandemic.  The bill also provides for annulment of an arrest or criminal conviction for violation of an emergency order issued in response to COVID-19.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=2&txtFormat=html,Andrew Prout,"Mark Warden, Dave Testerman, Scott Wallace, Bob Greene, Tony Lekas, Josh Yokela, Dawn Johnson, Melissa Blasek, Cody Belanger",1/4/2021
21-0003,raising the minimum age of marriage.,HB 408,This bill prohibits a person convicted of certain sexual assault offenses from hiring or otherwise engaging in any employment which provides access to a minor.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=3&txtFormat=html,Cassandra  Levesque,"Mary Beth Walz, Timothy Smith, Debra Altschiller, Sherry Frost, Chuck Grassie, Rosemarie Rung, Peter Petrigno, Safiya Wazir, Denny Ruprecht",1/5/2021
21-0004,relative to employment restrictions for registered sex offenders. ,HB 60,This bill raises the minimum age of marriage from 16 to 18 years of age.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=4&txtFormat=html,Kevin Verville,"John Reagan, Al Baldasaro",12/30/2020
21-0006,"establishing local education savings accounts for students.
",,,,Kevin Verville,"John Reagan, Jean Jeudy, Glenn Cordelli, John Potucek, Gregory Hill, Brian Seaworth, Bob Greene, Alicia Lekas, Josh Yokela, Leah Cushman",1/4/2021
21-0007,"relative to warrant articles in official ballot town, school district, or village district meetings.",,,,William Marsh,"Timothy Lang, Jess Edwards, Mark Pearson, Josh Yokela, John MacDonald",1/4/2021
21-0008,relative to certificates of title and drivers' licenses for members of the United States foreign service.,,,,William Marsh,"Steven Smith, Karel Crawford, Bill Nelson",1/4/2021
21-0009,relative to the legalization and regulation of cannabis and making appropriations therefor.,HB 68,"This bill adds sexual reassignment to the definition of an abused child in RSA 169-C, the child protection act.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=9&txtFormat=html,Casey Conley,"John Reagan, Robert Renny Cushing, Matthew Wilhelm, Rebecca McWilliams, Wendy Chase, Tony Labranche, Melbourne Moran",1/4/2021
21-0010,relative to continued in-network access to certain health care providers.,HB 163-FN,This bill requires alternative treatment centers to prepare information regarding the risk of cannabis use during pregnancy.  The bill also requires the commissioner of the department of health and human services to prepare a brochure relative to the risk of cannabis use during pregnancy and while breastfeeding.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=10&txtFormat=html,William Marsh,"Jeb Bradley, Karel Crawford, Bill Nelson, Joyce Weston, Cindy Rosenwald, John MacDonald",1/4/2021
21-0011,requiring parties responsible for pollution of a drinking water supply to be financially responsible for certain consequences of that pollution.,HB 135,This bill requires parties deemed responsible for pollution of a drinking water supply to be financially responsible for certain consequences of that pollution.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=11&txtFormat=html,Ralph Boehm,"Jeanine Notter, Richard Lascelles",1/4/2021
